train_header,entry_time,origin_node_id,destination_node_id,direction,speed_multiplier,train_length,tob,hazmat,sa_status_at_origin,terminal_want_time
B3,0,0,39,EASTBOUND,0.89,1,75,NO,-120,100
C2,0,0,39,EASTBOUND,0.7,1,75,NO,-90,120
D1,0,0,39,EASTBOUND,0.65,1.6,75,NO,-30,130
E2,180,0,39,EASTBOUND,0.5,1,75,NO,0,350
E3,240,0,39,EASTBOUND,0.55,1,75,NO,0,400
F2,420,0,39,EASTBOUND,0.3,1,75,NO,0,700
A5,480,0,39,EASTBOUND,1,1,75,NO,0,570
E4,540,0,39,EASTBOUND,0.45,1,75,YES,0,730
D2,600,0,39,EASTBOUND,0.65,1,75,NO,0,730
A1,0,20,39,EASTBOUND,1,1,75,NO,0,70
B2,0,40,39,EASTBOUND,0.88,1,75,NO,0,50
E1,0,39,0,WESTBOUND,0.45,1,75,NO,0,220
F1,0,39,0,WESTBOUND,0.25,1,75,NO,0,390
A3,300,39,0,WESTBOUND,1,1,75,NO,0,400
B4,420,39,0,WESTBOUND,0.8,1,125,NO,-240,540
C3,480,39,0,WESTBOUND,0.7,1,75,NO,-90,620
A4,540,39,0,WESTBOUND,0.95,1,75,NO,-60,650
A2,0,59,0,WESTBOUND,1,1,75,NO,0,70
C1,0,33,0,WESTBOUND,0.75,1,75,NO,0,70
B1,0,16,0,WESTBOUND,0.88,1,75,NO,0,20
